Geneset/Pathway	Fold Change	Average Expression	t.statistic	P.Value	adj.P.Val	log-odds-ratio	Pathway MemberGenes
Basal transcription factors (KEGG)	-2.636861862	5.248589061	-2.16511369	0.052810174	0.286437601	-4.203127741	"NA,NA,CDK7,TAF6L,GTF2A1L,TAF8,TAF1L,ERCC2,ERCC3,TAF5L,GTF2A1,GTF2A2,GTF2B,GTF2E1,GTF2E2,GTF2F1,GTF2F2,GTF2H1,GTF2H2,GTF2H3,GTF2H4,GTF2I,TBPL2,NA,NA,NA,NA,GTF2H5,MNAT1,TAF9B,TAF7L,TAF1,TAF2,TAF4,TAF4B,TAF5,TAF6,TAF7,TAF9,TAF10,TAF11,TAF12,TAF13,TBP,GTF2H2C,NA,NA,NA,GTF2H2C_2,TAF15,TAF3,CCNH,TBPL1,GTF2IRD1"
Vitamin digestion and absorption (KEGG)	-2.617045562	5.02313837	2.16333812	0.052974617	0.286437601	-4.205925956	"SLC19A2,SLC46A1,SLC52A3,PLB1,AWAT2,FOLH1,MMACHC,GIF,APOA1,APOA4,APOB,ABCC1,PNLIP,LMBRD1,RBP2,SLC19A1,BTD,TCN2,CUBN,SLC19A3,SLC5A6,LRAT,SCARB1,SLC23A1"
beta-Alanine metabolism (KEGG)	-2.711434274	6.347784225	-2.159319248	0.053348617	0.286437601	-4.212256282	"ABAT,DPYD,DPYS,ECHS1,EHHADH,ALDH2,ALDH3A1,ALDH1B1,ALDH1A3,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,MLYCD,GAD1,GAD2,HIBCH,HADHA,AOC2,ACADM,ALDH7A1,UPB1,CARNS1,SMS,SRM,CNDP1,AOC3"
"{PLG,10} (Static Module)"	-1.081602777	9.781972405	-2.156030743	0.053656511	0.286437601	-4.21743283	"CLEC3B,HPR,HRG,PLAT,PLAU,PLG,PRSS2,PRSS3,SERPINI1,SPARC"
Arachidonate Epoxygenase / Epoxide Hydrolase (Wikipathways)	-1.733177483	5.944860797	-2.147294098	0.054482707	0.286437601	-4.231170764	
"{MLLT4,12} (Static Module)"	-2.837036726	6.22219059	-2.145246644	0.054678064	0.286437601	-4.234387171	"CNTNAP3,CNTNAP3B,CNTNAP4,CNTNAP5,CRABP1,AFDN,MPP3,NECTIN1,NECTIN3,RAB31,RGL1,SSX2IP"
B Cell Receptor down reg. targets (Netpath)	-2.392409904	6.946410387	-2.142304006	0.054959998	0.286437601	-4.239007764	"GBP2,JCHAIN,IL13RA2,IL18R1,IL1R2,CXCL8,IQGAP2,IRF1,IRF7,ISG20,ITGA6,ITGB4,LCK,LMNA,IGHM,IFRD1,IFITM2,GNAZ,GNB1,GRK5,GSPT1,GSTP1,GTPBP1,GZMA,HCFC1R1,HCLS1,HDGF,HINT1,HTR2C,IFI16,LRP2,LTBP2,LTBP4,NUCB1,P2RY6,PAFAH1B1,PEBP1,PCBP1,PDCD5,PDGFA,PEA15,PF4,PLCG2,PLK4,POLH,PPP1CA,NR3C2,NME2,NFKBIA,MAD2L1,MAP3K10,MAP3K14,MAP4K5,MAPRE1,MCF2,MCM4,MRFAP1L1,MYBL2,MYC,MYL4,NCF4,NCK1,PPP1R1A,ACTA2,CCL3L1,CCNA2,CCNC,ABR,CD1C,CD22,CD3G,CD40,CD79A,CD79B,CD99,CD9,CDK1,CASP7,CAMK1,NA,ACVR2B,ADAM8,AMFR,ARHGDIB,ARHGEF2,ASGR1,ATP5G3,BIRC5,BMP5,BMP6,BPI,BTG1,BTK,CDC45,CDK10,CDK5R1,DYRK1A,DYRK3,EFNB3,EI24,EIF2AK2,EPHB2,ERBB2,ERCC2,ESR1,EVI2A,FCRLB,FRZB,FYN,DVL2,DUSP5,DUSP2,CDKN1B,CERKL,CHEK1,CHN1,CRHR1,CSDE1,CSNK2B,CUL5,CXCL1,CXCR4,DGUOK,DPF2,DRG2,GABRA2,PPP2CA,RGS7,SELE,SET,RAC2,SELL,TMBIM6,UBE2C,RAB31,UBE2H,RAB11A,PTPRZ1,PTPRC,RAD23A,PTPN2,TEC,RAG2,TLK2,RIT2,TNFSF10,TNFRSF1B,RGS13,CD27,RPS3,TNFAIP3,TRAF4,RPS6KA1,RPS6KB1,RRAGB,SKAP1,TIE1,SND1,SLA,VASP,TBXA2R,PSMC2,SRPK1,PRKCA,PRDX2,SMARCD3,PRKAR2B,PSMB5,SRP54,SMARCC1,PRKCI,PRKCD,YWHAQ,PSME1,EZR,STK38,PPP2R1A,AURKA,PTGER3,ST13,PPP2R5E,YWHAH"
"{DNM1,22} (Static Module)"	-2.698931648	5.409273778	2.139748234	0.055205983	0.286437601	-4.243018893	"AKAP5,ARFGAP2,CHRND,DNM1,GABARAP,GABBR1,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRG1,GABRG2,GABRG3,GABRQ,GPHN,NSF,UBQLN1"
Fatty acid elongation in mitochondria (KEGG)	-2.218769444	6.977478888	-2.130687067	0.056086517	0.286807758	-4.257224764	"ACAA2,ECHS1,HADHA,HADHB,HADH,MECR,PPT1,PPT2"
NOD pathway (Wikipathways)	-1.831753098	7.089642452	-2.126176621	0.056529764	0.286807758	-4.264287294	"NOD1,SUGT1,COPS6,NLRP3,CHUK,AAMP,NLRP4,NLRP7,NLRP1,CARD8,PYCARD,XIAP,HSP90AA1,NLRP10,IKBKB,IL1B,IL18,MEFV,CARD17,NFKBIA,DUOX2,NLRP2,ERBIN,NLRC4,RAC1,RELA,PRDM1,NOD2,CARD9,CASP1,CASP5,CASP7,CASP8,CASP9,CARD6,IKBKG,RIPK2,NLRP12,AIM2,ACAP1"
Peptide GPCRs (Wikipathways)	-1.954088329	5.222058708	2.119986983	0.057143422	0.286807758	-4.273969492	"NA,TUBB3,ATP8A1,CXCR6,CCR1,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CX3CR1,AGTR1,AGTR2,EDNRA,EDNRB,FPR1,FPR2,FPR3,NTSR2,FSHR,ACKR1,TAC4,GALR1,GHSR,GNRHR,CCR10,CXCR3,GRPR,CXCR1,CXCR2,LHCGR,MC1R,MC2R,MC3R,MC4R,MC5R,NMBR,NPY1R,NPY2R,NPY5R,NTSR1,OPRD1,OPRK1,OPRL1,OPRM1,OXTR,AVPR1A,AVPR1B,AVPR2,NPY4R,BDKRB1,BDKRB2,CXCR5,SSTR1,SSTR2,SSTR3,SSTR4,SSTR5,BRS3,TACR2,TACR1,TACR3,C3AR1,TRHR,TSHR,C5AR1,CXCR4,GALR3,GALR2,CCKAR,CCKBR"
Neurotrophin signaling pathway (KEGG)	-2.418103062	7.179616653	-2.105892223	0.058564379	0.286807758	-4.295975275	"AKT3,SH2B3,SH2B2,ZNF274,FRS2,YWHAQ,PRDM4,IRAK3,CRK,CRKL,MAPK14,CSK,CALML6,AKT1,AKT2,FOXO3,PIK3R5,ABL1,GAB1,SHC2,SH2B1,BEX3,RPS6KA6,GRB2,RAPGEF1,GSK3B,HRAS,IKBKB,FASLG,IRAK1,IRAK2,IRS1,JUN,KRAS,RHOA,ARHGDIA,ARHGDIB,SHC4,MAP3K1,MAP3K3,MAP3K5,ATF4,NFKB1,NFKBIA,NFKBIB,NFKBIE,NGF,NGFR,NRAS,NTF3,NTF4,NTRK1,NTRK2,NTRK3,IRAK4,PDK1,CALML5,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PLCG1,SHC3,PLCG2,PRKCD,MAPK1,MAPK3,MAPK7,MAPK8,MAPK11,MAPK9,MAPK10,MAPK13,MAP2K1,MAP2K2,MAP2K5,MAP2K7,PSEN1,PSEN2,BAD,KIDINS220,PTPN11,BAX,RAC1,RAF1,RAP1A,RAP1B,BCL2,RELA,RPS6KA1,RPS6KA2,RPS6KA3,BDNF,SORT1,MAPK12,SHC1,SOS1,SOS2,BRAF,TP53,TP73,TRAF6,YWHAB,YWHAE,YWHAG,YWHAH,YWHAZ,CALM1,CALM2,CALM3,CALML3,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,IRS4,PIK3R3,IRS2,RIPK2,RPS6KA4,RPS6KA5,MAPKAPK2,MAGED1,CDC42"
Metabolism of vitamins and cofactors (Reactome)	-2.898231606	5.322918071	2.105618801	0.058592271	0.286807758	-4.296401577	"AASDHPPT,ACP5,COASY,CUBN,CYB5A,CYB5R3,CYP24A1,CYP27B1,CYP2R1,DHFR,ENPP1,FASN,FLAD1,FPGS,GC,GPHN,GSTO1,GSTO2,LGMN,LRP2,MOCOS,MOCS1,MOCS2,MOCS3,MTHFD1,MTHFR,NADK,NADSYN1,NAMPT,NAPRT,NFS1,NMNAT1,NMNAT2,NMNAT3,PANK1,PANK2,PANK3,PANK4,PDXK,PNPO,PPCDC,PPCS,QPRT,RFK,SHMT1,SLC19A1,SLC19A2,SLC19A3,SLC23A1,SLC23A2,SLC25A16,SLC25A32,SLC2A1,SLC2A3,SLC46A1,SLC5A6,THTPA,TPK1"
Base excision repair (KEGG)	-2.564338565	5.551857088	-2.104615078	0.058694768	0.286807758	-4.297966331	"PARP2,PARP3,POLD3,PARP1,PARP4,FEN1,SMUG1,NEIL2,APEX2,POLL,HMGB1,APEX1,LIG1,LIG3,MPG,MUTYH,NTHL1,OGG1,PCNA,POLE3,POLB,POLD1,POLD2,POLE,POLE2,NEIL3,POLE4,POLD4,NA,TDG,UNG,XRCC1,NEIL1,MBD4"
Pentose and glucuronate interconversions (KEGG)	-2.464046833	5.519484432	-2.098199903	0.059353876	0.286807758	-4.307960125	"UGT2B11,UGT2A1,ALDH2,ALDH1B1,ALDH3A2,AKR1B1,DHDH,GUSB,CRYL1,DCXR,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,UGT2A2,RPE,RPEL1,UGDH,UGP2,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,UGT2A3,KL,XYLB"
NOD-like receptor signaling pathway (KEGG)	-1.924554776	7.084195197	-2.095501477	0.059633197	0.286807758	-4.312160126	"NA,NOD1,TAB1,SUGT1,NLRP3,CHUK,MAPK14,NLRP1,CARD8,TAB2,TAB3,PYDC1,PYCARD,CXCL1,CXCL2,BIRC2,BIRC3,XIAP,HSP90AA1,HSP90AB1,IKBKB,IL1B,IL6,CXCL8,IL18,MEFV,NAIP,NFKB1,NFKBIA,NFKBIB,ERBIN,MAPK1,MAPK3,MAPK8,MAPK11,MAPK9,MAPK10,MAPK13,NLRC4,CARD18,RELA,MAPK12,CCL2,CCL5,NOD2,CARD9,MAP3K7,TNF,TNFAIP3,HSP90B1,TRAF6,TRIP6,CASP1,CASP5,CASP8,CARD6,IKBKG,RIPK2,PSTPIP1"
Glycolysis / Gluconeogenesis (KEGG)	-2.150430465	6.607851819	-2.088510187	0.060362658	0.286807758	-4.323031537	
"{ATP5D,19} (Static Module)"	-2.010522799	6.469065862	-2.087172369	0.060503198	0.286807758	-4.325110137	"ATP5A1,ATP5B,ATP5C1,ATP5D,ATP5E,ATP5F1,ATP5G1,ATP5G2,ATP5H,ATP5I,ATP5J,ATP5J2,ATP5L,ATP5O,ATP6V1A,ATP6V1B2,PNO1"
RNA degradation (KEGG)	-2.673941225	6.362517661	-2.085754151	0.060652521	0.286807758	-4.327313057	"TOB1,MPHOSPH6,C1D,TOB2,BTG3,PAPD7,LSM6,EXOSC8,EXOSC6,PABPC4L,PABPC5,DDX6,DCP2,DHX36,DCP1B,ENO1,ENO2,ENO3,PATL1,XRN2,DIS3,EXOSC7,CNOT1,EXOSC2,SKIV2L2,EDC4,LSM5,CNOT6L,PAN3,LSM4,CNOT10,PABPC1,LSM1,LSM3,DCPS,CNOT7,HSPA9,HSPD1,PABPC1L2A,CNOT2,CNOT3,CNOT4,PABPC3,PARN,EXOSC3,EXOSC1,LSM7,LSM8,EXOSC9,EXOSC10,XRN1,EXOSC4,BTG4,DCP1A,EXOSC5,CNOT6,LSM2,PABPC1L2B,SKIV2L,BTG1,BTG2,EDC3,PABPC1L,WDR61,ZCCHC7,PNPT1,PABPC4,CNOT9,CNOT8,TTC37,PAN2"
Ubiquinone and other terpenoid-quinone biosynthesis (KEGG)	-2.382422553	4.116738902	-2.085167046	0.060714439	0.286807758	-4.328224828	"COQ7,COQ2,HPD,COQ6,COQ3,TAT,COQ5"
"{HSP90B1,11} (Static Module)"	-1.582920089	8.070059831	-2.070448413	0.062286272	0.290216739	-4.351048003	"HSP90AA2P,HSP90AA4P,HSP90AB1,HSP90AB3P,HSP90AB4P,HSP90B1,HSP90B2P,HYOU1,NAA16,PPID,TAX1BP1"
"{BCL2,27} (Static Module)"	-2.170000258	6.854738929	-2.069830929	0.062353044	0.290216739	-4.352004022	"AIFM1,APAF1,AVEN,BAD,BAK1,BAX,BCL2,BCL2A1,BCL2L1,BCL2L10,BCL2L11,BCL2L14,BCL2L2,BAK1P1,BECN1,BFAR,BIK,BMF,BNIP3,BNIP3L,BOK,FEM1B,HRK,MCL1,TMBIM6"
Circadian rhythm - mammal (KEGG)	-2.839393129	6.43825975	-2.061901935	0.063216442	0.290655112	-4.36426943	"NA,CRY1,CRY2,CSNK1D,CSNK1E,FBXW11,FBXL3,ARNTL,NPAS2,PER1,RORA,RORB,RORC,SKP1,BHLHE41,CUL1,BHLHE40,PER3,PER2,BTRC,NR1D1,CLOCK,RBX1"
Huntington's disease (KEGG)	-2.483767209	6.17353609	-2.059755967	0.063452042	0.290655112	-4.367585631	"DNAL4,ATP5H,CREB3,DCTN2,PPARGC1A,UQCR11,AP2M1,AP2S1,CLTA,CLTB,CLTC,COX6B2,NDUFA11,COX4I1,COX5B,COX6A1,COX6A2,COX6B1,COX6C,COX7A1,COX7A2,COX7B,COX7C,COX8A,CREB1,CREBBP,DNAH2,CREB3L4,CYC1,AP2A1,AP2A2,AP2B1,DCTN1,COX7B2,DLG4,EP300,RCOR1,PLCB1,POLR2J2,SIN3A,DNAH1,DNAI1,UQCRQ,BBC3,GNAQ,GPX1,GRIN1,GRIN2B,SLC25A4,GRM1,GRM5,SLC25A5,SLC25A6,UQCR10,HTT,HDAC1,HDAC2,HIP1,APAF1,COX8C,ITPR1,NDUFS7,TBPL2,UQCRHL,ATP6,ATP8,COX1,COX2,COX3,CYTB,NDUFA1,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFA9,NDUFA10,NDUFAB1,NDUFB1,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFB10,NDUFC1,NDUFC2,NDUFS1,NDUFS2,NDUFS3,NDUFV1,NDUFS4,NDUFS5,NDUFS6,NDUFS8,NDUFV2,NDUFV3,NRF1,ATP5A1,ATP5B,ATP5C1,NDUFA13,DCTN4,ATP5D,ATP5E,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,PLCB2,PLCB3,PLCB4,ATP5O,CYCS,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,NDUFB11,PPARG,PPID,POLR2J3,IFT57,DNAH3,NDUFA12,NDUFA4L2,BAX,REST,BDNF,SDHA,SDHB,SDHC,SDHD,DNAI2,CREB3L2,SOD1,SOD2,SP1,TAF4,TAF4B,TBP,TFAM,TGM2,TP53,UCP1,UQCRB,UQCRC1,UQCRC2,UQCRFS1,UQCRH,VDAC1,VDAC2,VDAC3,DNALI1,CLTCL1,SLC25A31,DNAL1,CASP3,CASP8,CASP9,CREB3L3,COX4I2,HAP1,CREB3L1,COX7A2L,COX5A,TBPL1,CREB5"
"{RAP1A,22} (Static Module)"	-2.375968336	5.932906249	-2.052606463	0.06424293	0.290655112	-4.378623326	"DIRAS3,RAPGEF1,DNAJC27,FARP2,RACK1,MRAS,RAP1A,RAP1B,RAP2A,RAP2B,RAP2C,RAPGEF3,RAPGEF4,RAPGEF5,RAPGEF6,RASA3,RASGRP1,RASIP1,RASSF5,RGS14,RUNDC3A,SIPA1"
Alanine and aspartate metabolism (Wikipathways)	-2.724387781	6.729216021	-2.052238251	0.064283911	0.290655112	-4.379191346	"DARS,ABAT,AGXT,GAD1,GAD2,GOT1,GOT2,GPT,ASL,ASPA,ASS1,PC"
DNA Repair (Reactome)	-2.859643354	5.766286973	-2.042780258	0.065345012	0.291779349	-4.393766713	"ALKBH2,ALKBH3,APEX1,ATM,ATR,BRCA1,BRCA2,BRIP1,CCNH,CCNO,CDK7,DDB1,DDB2,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,ERCC6,ERCC8,FAAP100,FAAP24,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FANCM,FEN1,GTF2H1,GTF2H2,GTF2H3,GTF2H4,H2AFX,LIG1,LIG3,LIG4,MAD2L2,MBD4,MDC1,MGMT,MNAT1,MPG,MRE11,MUTYH,NBN,NTHL1,OGG1,PALB2,PCNA,POLB,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POLH,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,PRKDC,RAD23B,RAD50,RAD51,RAD52,REV1,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,RPS27A,SMUG1,TCEA1,TDG,TDP1,TP53BP1,UBA52,UBB,UBC,UBE2T,USP1,XAB2,XPA,XPC,XRCC1,XRCC4,XRCC5,XRCC6,ZBTB32"
Metabolism of nucleotides (Reactome)	-2.6150941	5.42562735	-2.041812987	0.065454451	0.291779349	-4.395255713	"ADA,ADK,ADSL,ADSS,ADSSL1,AGXT2,AK1,AK2,AK5,AMPD1,AMPD2,AMPD3,APRT,ATIC,CAD,CAT,CDA,CMPK1,CTPS1,CTPS2,DCK,DCTD,DGUOK,DHODH,DPYD,DPYS,DTYMK,DUT,GART,GDA,GLRX,GMPR,GMPR2,GMPS,GPX1,GSR,GUK1,HPRT1,IMPDH1,IMPDH2,NME1,NME2,NME4,NT5C,NT5C1A,NT5C1B,NT5C2,NT5C3A,NT5E,NT5M,PAICS,PFAS,PNP,PPAT,RRM1,RRM2,RRM2B,SLC28A1,SLC28A2,SLC28A3,SLC29A1,SLC29A2,SLC29A3,SLC29A4,TK1,TK2,TXN,TXNRD1,TYMP,TYMS,UCK1,UCK2,UMPS,UPB1,UPP1,UPP2,XDH"
Transcription (Reactome)	-2.905037714	6.069695372	-2.03704265	0.065996694	0.292139213	-4.402594638	"BDP1,BRF1,BRF2,CBX3,CCNH,CCNT1,CCNT2,CDC40,CDK7,CDK9,CLP1,NELFB,CPSF1,CPSF2,CPSF3,CPSF7,CSTF1,CSTF2,CSTF3,CTDP1,DHX38,EHMT2,ELL,ERCC2,ERCC3,ERCC6,GTF2A1,GTF2A2,GTF2B,GTF2E1,GTF2E2,GTF2F1,GTF2F2,GTF2H1,GTF2H2,GTF2H3,GTF2H4,GTF3A,GTF3C1,GTF3C2,GTF3C3,GTF3C4,GTF3C5,H2AFB1,H2AFX,H2AFZ,H2BFS,H3F3A,HIST1H2AB,HIST1H2AC,HIST1H2AD,HIST1H2AJ,HIST1H2BA,HIST1H2BB,HIST1H2BC,HIST1H2BD,HIST1H2BH,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H3A,HIST1H4A,HIST2H2AA3,HIST2H2AC,HIST2H2BE,HIST2H3A,HIST3H2BB,KAT2B,LSM10,LSM11,LZTS1,MAGOH,MAPK3,MBD2,MNAT1,MTERF1,NCBP1,NCBP2,NFIA,NFIB,NFIC,NFIX,NFX1,NUDT21,PABPN1,PAPOLA,PCF11,POLR1A,POLR1B,POLR1C,POLR1D,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,POLR3A,POLR3B,POLR3D,POLR3E,POLR3F,POLR3H,POLRMT,POU2F1,CAVIN1,RBM8A,NELFE,RNGTT,RNMT,RNPS1,RRN3,SLBP,SNAPC1,SNAPC2,SNAPC3,SNAPC4,SNAPC5,SNRPB,SNRPD3,SNRPE,SNRPF,SNRPG,SRRM1,SSB,SSRP1,SUPT16H,SUPT4H1,SUPT5H,TAF1,TAF10,TAF11,TAF12,TAF13,TAF1A,TAF1B,TAF1C,TAF4,TAF4B,TAF5,TAF6,TAF9,TBP,TCEA1,ELOC,ELOB,ELOA,TFAM,TFB2M,NELFCD,ALYREF,TTF1,U2AF1,U2AF2,UBTF,UPF3B,NELFA,ZNF143,ZNF473"
GnRH signaling pathway (KEGG)	-2.885973773	6.661638653	-2.025059047	0.067377476	0.296180153	-4.420997976	"PLA2G4B,ADCY1,MAP3K2,ADCY2,CGA,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,PLA2G4E,MAPK14,CALML6,HBEGF,EGFR,ADCY4,ELK1,PTK2B,PLCB1,FSHB,PLA2G2D,GNA11,GNAQ,GNAS,GNRH1,GNRH2,GNRHR,GRB2,PLA2G2E,HRAS,ITPR1,ITPR2,ITPR3,JUN,KRAS,PLA2G2C,LHB,MAP3K1,MAP3K3,MAP3K4,MMP2,MMP14,ATF4,NRAS,PLA2G3,CALML5,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,PLCB2,PLCB3,PLCB4,PLD1,PLD2,PRKACA,PRKACB,PRKACG,PRKCA,PRKCB,PRKCD,MAPK1,MAPK3,MAPK7,MAPK8,MAPK11,MAPK9,MAPK10,MAPK13,MAP2K1,MAP2K2,MAP2K3,MAP2K6,MAP2K7,PRKX,RAF1,MAPK12,MAP2K4,PLA2G2F,SOS1,SOS2,SRC,CACNA1C,CACNA1D,CACNA1F,CACNA1S,CALM1,CALM2,CALM3,CALML3,CAMK2A,PLA2G12A,CAMK2B,CAMK2D,CAMK2G,PLA2G6,PLA2G10,PLA2G12B,JMJD7-PLA2G4B,CDC42"
Fatty acid metabolism (KEGG)	-2.834441232	5.969157674	-2.013415048	0.068744962	0.298233281	-4.438834261	"ACAA2,ECI2,ADH1A,ADH1B,ADH1C,CPT1C,ADH4,ADH5,ADH6,ADH7,CPT1A,CPT1B,CPT2,CYP4A11,ECI1,ECHS1,EHHADH,ALDH2,ACSL1,ACSL3,ACSL4,ALDH1B1,ALDH9A1,ALDH3A2,ACSBG1,ACSL6,GCDH,CYP4A22,ACAA1,HADHA,HADHB,HADH,ACADL,ACADM,ACADS,ACADSB,ACADVL,ACAT1,ACAT2,ALDH7A1,ACOX1,ACSL5,ACSBG2,ACOX3"
TGF-beta Receptor Signaling Pathway (Wikipathways)	-2.389472048	6.850966955	-2.013062033	0.068786823	0.298233281	-4.439374303	"NA,TRAP1,CDK2,CDK4,CDK6,CDKN1A,ANAPC10,YAP1,TAB1,CTCF,GIPC1,COPS5,STRAP,STK11IP,ATF2,CREBBP,MAPK14,CTNNB1,DAB2,DAXX,AP2B1,EID2,DVL1,E2F4,E2F5,ENG,EP300,ESR1,ETS1,FKBP1A,FOXG1,SNW1,FOXO1,FOXO3,FNTA,FOS,FOSB,ANAPC2,ANAPC4,HDAC1,HNF4A,HOXA9,HOXA10,HSPA8,AR,JUN,JUNB,JUND,KPNB1,SMAD2,SMAD3,SMAD4,ARRB2,SMAD6,SMAD7,MEF2A,MEF2C,FOXO4,CITED1,MYC,ATF3,NFYA,NFYB,NFYC,LEF1,FZR1,ANAPC5,ANAPC7,PIK3R1,PIK3R2,PPP2R2A,PRKAR1B,PRKAR2A,PRKCB,PRKCD,DCP1A,PRKCG,ERBIN,MAPK8,MAP2K3,MAP2K6,PARD3,SMURF1,STAMBPL1,SNX6,RB1,RBL1,RBL2,CCND1,ROCK1,SDC2,ANAPC1,SMURF2,SKI,SKIL,SKP1,SNX1,SNX2,SP1,SPARC,STK11,MAP3K7,ZEB1,TFDP1,TFDP2,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TGFBR3,TGIF1,TP53,TP73,ROCK1P1,LOC730268,UBE2D1,UBE2D2,UBE2D3,SUMO1,VDR,XPO1,SNIP1,NUP214,CAMK2A,CAMK2B,CAMK2D,CAMK2G,AXIN1,AXIN2,CUL1,PIAS1,CAV1,RUNX2,NCOA1,EIF3I,CDC23,SNX4,KAT2B,CDC16,FOXH1,BTRC,CCNE1,PIAS2,CCNB2,HGS,ZFYVE9,ACVRL1,CD44,CDK1,ZEB2,CDC25A,CDC27,NUP153,RBX1"
"{HSP90AA1,18} (Static Module)"	-1.899386751	8.132278886	-1.991485831	0.071390962	0.307418223	-4.472301358	"AHSA1,CDC37,DKC1,HSP90AA1,NARS,PIF1,PTGES3,RGPD5,SGTA,SMG5,SMG6,SMG7,SON,TERT,TOMM34,TRAP1,TTC3,UBE4A"
"{DLG4,28} (Static Module)"	-2.456941605	6.306495923	1.959798078	0.075382292	0.321615104	-4.520367418	"ADAP1,ATP2A2,ATP2B4,CNKSR2,DLG1,DLG2,DLG3,DLG4,DLGAP1,DLGAP4,GDA,GLS2,GRIN2A,GRIN2D,GRIN3B,KCNA4,KCNJ1,KCNJ12,KCNJ2,KCNJ4,KIF13B,LGI1,LRRC7,MAP1A,MPP2,SHANK1,SHANK2,SIPA1L1"
Folate Metabolism (Wikipathways)	-2.894552454	6.269032229	1.956589527	0.075797784	0.321615104	-4.525214549	"NA,MTHFS,MTHFD2,SLC46A1,SERPINA3,CRP,CSF1,CTH,DHFR,ABCA1,AHCY,ALB,F2,F7,FOLR1,FOLR2,FOLR3,GART,HBA1,HBA2,HBB,APOA1,APOB,ICAM1,IFNG,IL1B,IL2,IL4,IL6,INS,INSR,IZUMO1R,LDLR,MAT1A,MPO,MTHFD1,MTHFR,MTR,MTRR,NFKB1,NFKB2,SERPINE1,PLAT,PLG,RFK,RELA,SAA1,SAA2,SAA4,CCL2,SHMT1,SHMT2,SLC19A1,SOD1,SOD2,SOD3,TNF,TP53,INS-IGF2,FLAD1,CAT,CBS,SCARB1"
Glycolysis and Gluconeogenesis (Wikipathways)	-2.147517137	6.948048199	-1.95340618	0.07621211	0.321615104	-4.530019951	"DLAT,DLD,ENO1,ENO2,ENO3,FBP1,ALDOA,ALDOB,ALDOC,G6PC,GAPDH,GAPDHS,GCK,GOT1,GOT2,GPI,HK1,HK2,HK3,LDHA,LDHB,LDHC,MDH1,MDH2,PC,PCK1,PDHA1,PDHA2,PDHB,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGK1,PGK2,PKLR,PKM,SLC2A1,SLC2A2,SLC2A3,SLC2A4,SLC2A5,NA,TPI1,PDHX,FBP2,LDHAL6B"
